code,name,expires_unix,png_path
FAC-0001,板橋中央総合病院 / 板橋セントラルクリニック,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0001.png
FAC-0002,明理会中央総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0002.png
FAC-0003,高島平中央総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0003.png
FAC-0004,イムス東京葛飾総合病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0004.png
FAC-0005,明理会東京大和病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0005.png
FAC-0006,イムス記念病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0006.png
FAC-0007,イムス葛飾ハートセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0007.png
FAC-0008,イムス板橋リハビリテーション病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0008.png
FAC-0009,イムスリハビリテーションセンター東京葛飾病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0009.png
FAC-0010,イムス明理会東京町田病院,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0010.png
FAC-0011,板橋ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0011.png
FAC-0012,葛飾ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0012.png
FAC-0013,お花茶屋ロイヤルケアセンター,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0013.png
FAC-0014,クローバーのさと イムスケア カウピリ板橋,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0014.png
FAC-0015,アイムス蓮根,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0015.png
FAC-0016,アイムス赤羽,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0016.png
FAC-0017,クローバーのさと イムスホーム カウピリ板橋 / ケアハウス カウピリ板橋,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0017.png
FAC-0018,アイ・タワークリニック,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0018.png
FAC-0019,新葛飾ロイヤルクリニック,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0019.png
FAC-0020,イムス西台透析クリニック,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0020.png
FAC-0021,スマイルクリニック イムス東京,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0021.png
FAC-0022,IMS Me-Life クリニック 池袋,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0022.png
FAC-0023,IMS Me-Life クリニック 東京,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0023.png
FAC-0024,IMS Me-Life クリニック 新宿,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0024.png
FAC-0025,IMS Me-Life クリニック 板橋,1792327354,/Volumes/external/Users/ttakahashi/git/stamp-rally/data/qrcodes/FAC-0025.png
